Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
country:United Kingdom,K02000001,1300608,1505201,1528464,171934,138743,996944,220843,23263,23263,-204593,365224,337991,27233,569817,228309,300656,40852
country:Great Britain,K03000001,1270652,1472836,1495792,168535,135328,975727,216202,22956,22956,-202184,355279,329061,26218,557463,224564,293432,39467
country:England,E92000001,1122348,1308489,1328974,151343,123291,860976,193364,20484,20484,-186141,305879,283355,22524,492020,201752,256321,33947
country:Wales,W92000004,50060,52968,53779,5648,4201,36407,7522,811,811,-2908,18698,17214,1485,21606,6947,12515,2144
country:Scotland,S92000003,98244,111379,113040,11545,7835,78344,15315,1661,1661,-13135,30702,28493,2209,43837,15865,24595,3376
country:Northern Ireland,N92000002,29956,32365,32672,3399,3415,21217,4641,307,307,-2409,9945,8930,1015,12354,3745,7224,1385
country:England and Wales,K04000001,1172408,1361457,1382752,156990,127493,897383,200887,21296,21296,-189049,324577,300568,24009,513626,208699,268837,36091
itl121:North East (England),TLC,42139,45028,45661,4437,3125,32013,6087,633,633,-2889,15580,14385,1195,18469,6104,10612,1753
itl121:North West (England),TLD,124586,137463,139737,14850,10565,94685,19637,2274,2274,-12877,40890,38116,2774,53767,19010,30489,4268
itl121:Yorkshire and The Humber,TLE,90018,99046,100669,9893,8137,68091,14549,1623,1623,-9028,29944,27731,2213,38972,13331,22307,3335
itl121:East Midlands (England),TLF,82011,92327,93816,8979,7369,64094,13374,1489,1489,-10316,26077,24011,2066,36393,13183,20152,3059
itl121:West Midlands (England),TLG,99114,110143,111935,11247,8847,75857,15984,1792,1792,-11029,31827,29441,2386,42856,15347,23931,3577
itl121:East,TLH,127041,149519,152042,16894,13781,99190,22178,2523,2523,-22478,34457,31737,2720,56935,23868,29083,3984
itl121:London,TLI,243320,311543,315729,38658,37537,193388,46147,4186,4186,-68223,40441,37539,2902,108664,53949,50056,4659
itl121:South East (England),TLJ,206588,246103,249978,31663,21894,159796,36624,3875,3875,-39515,53008,49268,3740,92523,41279,45639,5605
itl121:South West (England),TLK,107531,117317,119406,14723,12036,73862,18786,2090,2090,-9785,33656,31128,2528,43442,15681,24052,3708
itl121:Wales,TLL,50060,52968,53779,5648,4201,36407,7522,811,811,-2908,18698,17214,1485,21606,6947,12515,2144
itl121:Scotland,TLM,98244,111379,113040,11545,7835,78344,15315,1661,1661,-13135,30702,28493,2209,43837,15865,24595,3376
itl121:Northern Ireland,TLN,29956,32365,32672,3399,3415,21217,4641,307,307,-2409,9945,8930,1015,12354,3745,7224,1385
itl221:Tees Valley and Durham,TLC1,18661,19833,20102,1885,1343,14227,2647,269,269,-1172,7056,6510,546,8228,2719,4713,796
"itl221:Northumberland, and Tyne and Wear",TLC2,23478,25195,25559,2552,1782,17786,3439,364,364,-1717,8524,7876,648,10241,3385,5898,958
itl221:Cumbria,TLD1,9295,9916,10107,1245,708,6573,1582,191,191,-621,3157,2946,210,3778,1319,2141,319
itl221:Greater Manchester,TLD3,45947,52173,52986,5314,4268,36167,7237,813,813,-6226,14310,13287,1023,20536,7093,11860,1582
itl221:Lancashire,TLD4,24704,26428,26878,2935,2100,17811,4032,450,450,-1724,8685,8106,580,10410,3480,6043,887
itl221:Cheshire,TLD6,19495,22170,22567,2592,1442,14989,3544,397,397,-2675,5665,5259,406,8340,3460,4280,600
itl221:Merseyside,TLD7,25146,26777,27200,2764,2048,19145,3242,423,423,-1631,9073,8518,555,10704,3659,6165,880
itl221:East Yorkshire and Northern Lincolnshire,TLE1,14990,16166,16436,1641,1208,11357,2229,270,270,-1176,5238,4852,385,6414,2158,3675,580
itl221:North Yorkshire,TLE2,16392,18166,18541,2278,1567,11463,3233,374,374,-1775,5096,4722,374,6870,2669,3650,552
itl221:South Yorkshire,TLE3,21495,23311,23655,2098,1990,16446,3120,344,344,-1815,7488,6940,548,9304,3012,5455,837
itl221:West Yorkshire,TLE4,37141,41403,42038,3876,3371,28824,5967,635,635,-4262,12122,11216,906,16384,5491,9527,1366
itl221:Derbyshire and Nottinghamshire,TLF1,36312,40840,41462,3757,3131,28894,5680,622,622,-4527,12127,11203,924,16654,6021,9249,1384
"itl221:Leicestershire, Rutland and Northamptonshire",TLF2,32748,37749,38379,3802,3087,25875,5614,630,630,-5001,9398,8591,806,14399,5322,7899,1178
itl221:Lincolnshire,TLF3,12951,13738,13975,1419,1151,9324,2080,237,237,-788,4552,4217,336,5340,1839,3004,497
"itl221:Herefordshire, Worcestershire and Warwickshire",TLG1,27386,30934,31506,3586,2518,20263,5139,572,572,-3548,8008,7384,624,11555,4586,6061,908
itl221:Shropshire and Staffordshire,TLG2,28118,31306,31811,3162,2465,21441,4743,504,504,-3189,9162,8471,691,12351,4402,6916,1033
itl221:West Midlands,TLG3,43610,47902,48618,4499,3864,34154,6101,716,716,-4292,14657,13586,1071,18950,6359,10955,1636
itl221:East Anglia,TLH1,47224,53132,54018,5917,4904,35108,8089,885,885,-5909,14426,13338,1088,20335,7807,10914,1613
itl221:Bedfordshire and Hertfordshire,TLH2,41989,51756,52613,5746,4563,34688,7617,857,857,-9766,9838,9010,827,19604,8881,9530,1193
itl221:Essex,TLH3,37828,44631,45412,5231,4314,29394,6473,781,781,-6803,10193,9388,805,16996,7179,8639,1178
itl221:Inner London - West,TLI3,57338,78442,79541,10154,8545,45278,15564,1099,1099,-21104,5400,4989,411,26504,16689,9154,660
itl221:Inner London - East,TLI4,59116,76380,77294,8441,9923,49284,9647,914,914,-17264,9577,8894,683,26841,12242,13433,1166
itl221:Outer London - East and North East,TLI5,40186,48207,48871,6129,6438,30634,5669,664,664,-8021,8972,8341,630,16992,6797,9201,994
itl221:Outer London - South,TLI6,32115,40438,40996,5151,4140,26251,5454,558,558,-8323,6603,6141,462,14927,6959,7250,718
itl221:Outer London - West and North West,TLI7,54565,68076,69027,8783,8490,41941,9813,951,951,-13511,9889,9174,715,23400,11262,11017,1121
"itl221:Berkshire, Buckinghamshire and Oxfordshire",TLJ1,57739,71918,72985,8719,5857,47963,10446,1067,1067,-14179,13037,12036,1001,27216,12591,13148,1476
"itl221:Surrey, East and West Sussex",TLJ2,70752,83928,85336,11517,7667,52742,13410,1409,1409,-13175,17978,16773,1206,31153,14584,14762,1807
itl221:Hampshire and Isle of Wight,TLJ3,40729,47250,47974,5913,4194,31253,6613,724,724,-6521,11490,10685,805,18012,7399,9393,1219
itl221:Kent,TLJ4,37369,43008,43683,5515,4176,27837,6155,675,675,-5639,10503,9774,729,16142,6705,8335,1102
"itl221:Gloucestershire, Wiltshire and Bath/Bristol area",TLK1,50094,57788,58717,6551,5372,37900,8894,929,929,-7694,14042,12907,1135,21735,8309,11775,1652
itl221:Dorset and Somerset,TLK2,25985,27428,27959,3738,2911,16885,4426,531,531,-1444,8620,8004,616,10064,3641,5521,901
itl221:Cornwall and Isles of Scilly,TLK3,9928,9915,10124,1474,1283,5656,1711,210,210,13,3511,3256,255,3498,1109,2013,376
itl221:Devon,TLK4,21524,22185,22606,2961,2470,13421,3754,421,421,-661,7484,6961,523,8145,2622,4743,779
itl221:West Wales and The Valleys,TLL1,30194,31120,31587,3248,2511,21554,4274,467,467,-926,11918,10998,920,12844,3946,7561,1336
itl221:East Wales,TLL2,19866,21847,22192,2400,1690,14853,3249,345,345,-1982,6780,6215,565,8762,3001,4954,807
itl221:North Eastern Scotland,TLM5,10074,12524,12724,1391,688,8883,1762,200,200,-2450,2480,2261,220,4930,2105,2500,325
itl221:Highlands and Islands,TLM6,8393,9154,9318,1136,771,6065,1345,164,164,-761,2709,2505,204,3470,1149,2015,306
itl221:Eastern Scotland,TLM7,37275,42537,43174,4424,3175,29583,5991,636,636,-5263,11341,10529,812,16604,6194,9170,1239
itl221:West Central Scotland,TLM8,26072,29378,29779,2790,1954,21352,3684,401,401,-3305,8422,7841,581,11728,4045,6773,910
itl221:Southern Scotland,TLM9,16430,17786,18046,1804,1248,12462,2533,260,260,-1356,5749,5358,391,7105,2372,4137,596
itl221:Northern Ireland,TLN0,29956,32365,32672,3399,3415,21217,4641,307,307,-2409,9945,8930,1015,12354,3745,7224,1385
itl321:Hartlepool and Stockton-on-Tees,TLC11,4589,4928,4998,496,321,3560,622,71,71,-339,1639,1505,134,1978,695,1090,193
itl321:South Teesside,TLC12,4198,4304,4365,431,287,3067,579,61,61,-106,1706,1585,121,1811,564,1070,177
itl321:Darlington,TLC13,1766,1905,1933,200,132,1342,259,28,28,-138,628,578,50,767,255,440,72
itl321:Durham,TLC14,8108,8697,8805,758,603,6257,1187,108,108,-589,3083,2842,241,3672,1205,2113,354
itl321:Northumberland,TLC21,5991,6071,6171,697,475,4003,996,100,100,-80,2252,2091,161,2332,839,1263,230
itl321:Tyneside,TLC22,13272,14669,14876,1458,1019,10506,1893,208,208,-1397,4650,4282,368,6047,1990,3509,549
itl321:Sunderland,TLC23,4215,4455,4511,396,288,3276,551,56,56,-240,1622,1502,120,1861,556,1127,179
itl321:West Cumbria,TLD11,4061,4480,4551,461,233,3234,624,71,71,-419,1392,1296,96,1811,635,1030,146
itl321:East Cumbria,TLD12,5234,5436,5557,784,475,3339,959,121,121,-202,1765,1650,115,1967,683,1111,173
itl321:Manchester,TLD33,7884,9058,9194,887,954,6220,1133,136,136,-1174,2285,2114,171,3459,1029,2150,280
itl321:Greater Manchester South West,TLD34,9298,11232,11415,1193,834,7649,1739,182,182,-1935,2512,2326,187,4447,1846,2317,283
itl321:Greater Manchester South East,TLD35,9250,10457,10638,1186,785,7219,1448,181,181,-1207,2873,2669,203,4080,1449,2322,308
itl321:Greater Manchester North West,TLD36,9604,10559,10711,994,820,7461,1435,152,152,-954,3260,3030,230,4214,1364,2497,353
itl321:Greater Manchester North East,TLD37,9911,10867,11028,1054,875,7617,1482,161,161,-956,3380,3147,233,4336,1405,2573,358
itl321:Blackburn with Darwen,TLD41,1949,2011,2040,190,168,1378,304,29,29,-62,759,708,51,820,233,509,79
itl321:Blackpool,TLD42,2186,2160,2197,247,222,1437,292,38,38,27,862,812,50,836,231,525,80
itl321:Lancaster and Wyre,TLD44,4220,4412,4496,551,369,2847,729,85,85,-192,1535,1434,100,1726,574,997,155
itl321:Mid Lancashire,TLD45,7158,7878,8021,935,560,5305,1221,143,143,-720,2373,2215,159,3094,1121,1732,241
itl321:East Lancashire,TLD46,5023,5434,5508,483,448,3823,754,74,74,-411,1790,1666,124,2202,699,1314,189
