Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
country:United Kingdom,K02000001,2.9,3.6,3.2,0.8,9,3.9,-1,-17.4,-17.4,8.4,1.7,1.5,4.9,4,5.1,3.3,3.3
country:Great Britain,K03000001,2.9,3.6,3.2,0.7,8.9,3.9,-1.1,-17,-17,8.5,1.7,1.5,5.1,4.1,5.2,3.4,3.3
country:England,E92000001,2.9,3.7,3.3,0.3,8.9,4.1,-1.1,-16.9,-16.9,8.7,1.7,1.5,5.2,4.3,5.4,3.5,3.4
country:Wales,W92000004,3.5,4.3,3.5,3,10.4,3.9,-1,-30.2,-30.2,20.1,1.4,1.1,4.1,3.5,5.2,2.8,2.8
country:Scotland,S92000003,2.3,2.4,2.2,4.7,8.5,2,-1.1,-10.2,-10.2,3.6,2,1.8,4.5,2.5,2.5,2.3,3
country:Northern Ireland,N92000002,3.7,3.8,3.2,7.5,12.2,1.7,1.2,-37.3,-37.3,5.1,0.5,0.3,1.9,1.3,0.3,1.9,1.3
country:England and Wales,K04000001,3,3.7,3.3,0.4,8.9,4.1,-1.1,-17.5,-17.5,8.8,1.7,1.5,5.1,4.2,5.4,3.5,3.4
itl121:North East (England),TLC,2.4,2.9,2.3,2.8,10.6,2.2,-1,-28,-28,11.2,1.7,1.5,3.3,3,2.1,3.8,2.2
itl121:North West (England),TLD,3.3,4.4,3.9,3,10.6,4.4,-1.1,-20.4,-20.4,16.4,0.9,0.7,3.5,4.2,5.3,3.9,2.2
itl121:Yorkshire and The Humber,TLE,3.3,3.6,3.2,5.3,8.4,3.3,-1.5,-18.9,-18.9,6.8,2.3,2.1,6,3.3,3.7,3,3.9
itl121:East Midlands (England),TLF,3.8,3.7,3.5,4.3,10.2,3.8,-2.1,-10.4,-10.4,3.2,2.5,2.5,2.6,2.7,3.6,2.2,1.9
itl121:West Midlands (England),TLG,2.2,2.9,2.9,2.7,9.3,3.5,-2.9,3.3,3.3,9,1.4,1,7.2,3.3,4.4,2.4,4.8
itl121:East,TLH,3.5,3.8,3.6,8.1,10.3,3.1,-1.4,-9.9,-9.9,5.5,1.9,1.4,8.2,3.3,4.2,2.4,5.5
itl121:London,TLI,2.2,3.5,3.2,-6.8,6.4,5.4,0.9,-14.9,-14.9,8.3,0.7,0.5,2.6,5.3,6.8,4.2,1.6
itl121:South East (England),TLJ,3,4.1,3.3,-0.4,9.4,4.5,-1.7,-30.1,-30.1,10,2.2,2,5,5.4,6.7,4.5,3.3
itl121:South West (England),TLK,3.1,3.7,3.5,3.2,11.5,3.7,-1.6,-7.5,-7.5,10.6,2.4,1.9,7.7,4.1,4.6,3.6,5.3
itl121:Wales,TLL,3.5,4.3,3.5,3,10.4,3.9,-1,-30.2,-30.2,20.1,1.4,1.1,4.1,3.5,5.2,2.8,2.8
itl121:Scotland,TLM,2.3,2.4,2.2,4.7,8.5,2,-1.1,-10.2,-10.2,3.6,2,1.8,4.5,2.5,2.5,2.3,3
itl121:Northern Ireland,TLN,3.7,3.8,3.2,7.5,12.2,1.7,1.2,-37.3,-37.3,5.1,0.5,0.3,1.9,1.3,0.3,1.9,1.3
itl221:Tees Valley and Durham,TLC1,2.5,3.4,2.8,2.5,11,2.5,0.7,-28.2,-28.2,19.8,1.3,1.1,3.9,3.6,2.1,4.6,2.6
"itl221:Northumberland, and Tyne and Wear",TLC2,2.3,2.6,1.9,3,10.3,1.9,-2.3,-27.9,-27.9,6,2,1.9,2.8,2.6,2,3.1,1.8
itl221:Cumbria,TLD1,2.1,3,2.4,3,9.2,2,1,-20.4,-20.4,18.1,1.9,1.9,1.7,4.2,3.3,5.3,0.9
itl221:Greater Manchester,TLD3,3.7,5,4.5,3.6,11.2,4.8,0.2,-19.9,-19.9,15.8,0.3,0,4.3,4.5,4.4,4.8,2.7
itl221:Lancashire,TLD4,3.3,4.2,3.6,1,9.1,4.5,-1.1,-21.9,-21.9,18.7,1.6,1.5,3.2,4.1,6,3.3,2
itl221:Cheshire,TLD6,4.1,5.6,5,4.6,10.4,6.5,-2.3,-19.1,-19.1,17.4,0.5,0.3,2.6,5.3,8.2,3.6,1.7
itl221:Merseyside,TLD7,2.6,3.2,2.7,2.4,11.2,3,-3.4,-20.9,-20.9,14.2,1.3,1.1,3.7,3.1,4.5,2.4,2.2
itl221:East Yorkshire and Northern Lincolnshire,TLE1,3.6,3.4,3,6.3,9,3.2,-3.3,-18.1,-18.1,1,2.7,2.4,6.4,2.4,4.8,0.8,4
itl221:North Yorkshire,TLE2,3.4,3.3,2.8,5.3,6.7,2.9,-1.2,-18.9,-18.9,2.5,1.9,1.8,3.2,2.1,2.5,1.8,2.2
itl221:South Yorkshire,TLE3,3.3,3.7,3.3,5.9,9.2,3,0.2,-18.4,-18.4,9.4,2.3,1.9,7.1,3.6,3,3.8,4.6
itl221:West Yorkshire,TLE4,3.2,3.8,3.3,4.5,8.6,3.8,-1.9,-19.5,-19.5,9.3,2.4,2.1,6.4,4.1,4.3,4,4
itl221:Derbyshire and Nottinghamshire,TLF1,3,2.4,2.2,2.5,9.7,2.6,-3.7,-11.9,-11.9,-1.5,2.2,2.2,2.5,1.2,1.2,1.1,1.7
"itl221:Leicestershire, Rutland and Northamptonshire",TLF2,4.8,5.1,4.8,6.3,12,5.1,-0.8,-8.6,-8.6,7.2,2.7,2.7,3,4.2,6.3,3.1,2.3
itl221:Lincolnshire,TLF3,3.6,3.8,3.5,3.7,7,4.1,-0.7,-11,-11,7.4,2.8,2.9,2.2,3.5,4.3,3.2,1.6
"itl221:Herefordshire, Worcestershire and Warwickshire",TLG1,1.7,2.1,2.1,2.3,8.9,3.5,-5.9,2.9,2.9,5.6,1.9,1.6,6.4,3,4.6,1.6,4.4
itl221:Shropshire and Staffordshire,TLG2,2.7,3,3,2.3,9.3,3.7,-2.3,3,3,5.7,2.5,2.1,7.1,3.3,4.6,2.3,4.7
itl221:West Midlands,TLG3,2.2,3.2,3.2,3.2,9.4,3.3,-0.8,3.9,3.9,14.7,0.5,0,7.8,3.4,4.1,2.8,5
itl221:East Anglia,TLH1,3,2.7,2.5,8.8,9.8,1.7,-2.6,-9.4,-9.4,0,2.1,1.7,7.8,1.5,2.5,0.3,5.2
itl221:Bedfordshire and Hertfordshire,TLH2,3.6,3.8,3.5,7.3,11,3.2,-1.9,-10.6,-10.6,4.4,2.7,2.2,8.7,3.5,4.2,2.7,5.8
itl221:Essex,TLH3,4.1,5.3,5,8.4,10,4.6,0.9,-9.7,-9.7,12.7,1,0.4,8.2,5.4,6,4.8,5.5
itl221:Inner London - West,TLI3,2.3,2.7,2.4,-7.6,6.2,4.8,0.9,-15.6,-15.6,3.8,1.7,2.1,-2.7,3.3,5.4,0,-1.7
itl221:Inner London - East,TLI4,3.1,5.6,5.3,-6.1,6.6,8,2,-14.2,-14.2,15.3,-0.1,-0.4,5.1,9.3,12.7,6.9,3.1
itl221:Outer London - East and North East,TLI5,2.8,4.2,3.9,-7.2,8.7,6,1.2,-15.3,-15.3,11.7,0.4,0.1,4.3,5.4,6.5,4.9,2.6
itl221:Outer London - South,TLI6,1,2.4,2.1,-7.5,4.3,4.3,0,-15.5,-15.5,8.1,0.8,0.7,2.4,4.7,4.3,5.5,1.3
itl221:Outer London - West and North West,TLI7,1.4,2.2,2,-5.8,5.6,3.4,0.3,-14,-14,5.6,1,0.9,2.1,3.6,4.4,3.1,1.1
"itl221:Berkshire, Buckinghamshire and Oxfordshire",TLJ1,3.3,4.2,3.5,-0.2,9.9,5,-2.9,-30,-30,8.3,2.9,2.7,5.2,5.6,6.8,4.7,3.4
"itl221:Surrey, East and West Sussex",TLJ2,2.9,4.2,3.3,-1.9,8.9,5.1,-1.6,-31.2,-31.2,11.9,2.2,2,4,6.1,7.7,5,2.7
itl221:Hampshire and Isle of Wight,TLJ3,3.1,4,3.3,1,9.7,3.9,-1.1,-29.2,-29.2,10.4,1.8,1.5,5.2,4.7,5.7,4.2,3.4
itl221:Kent,TLJ4,3,3.8,3,1.1,9.4,3.4,-0.7,-29.1,-29.1,9.3,1.9,1.6,5.9,4.4,5.7,3.5,3.9
"itl221:Gloucestershire, Wiltshire and Bath/Bristol area",TLK1,2.7,3.4,3.2,4.4,11.7,3.4,-2.6,-6.4,-6.4,7.9,2.3,1.7,9.4,4.2,4.5,3.7,6.4
itl221:Dorset and Somerset,TLK2,2.9,3.6,3.4,3.2,11.8,2.9,0.1,-7.5,-7.5,18.6,2.4,2.1,6.5,4.4,3.4,5.1,4.4
itl221:Cornwall and Isles of Scilly,TLK3,4.9,4.3,4,1.7,11.3,5.2,-2.3,-8.8,-8.8,-134.3,2.5,2.2,5.8,1,6.3,-2.2,4.1
itl221:Devon,TLK4,3.4,4.3,4,1.4,10.8,4.9,-1,-9.1,-9.1,41.8,2.4,2.1,6.6,4.8,5.8,4.3,4.5
itl221:West Wales and The Valleys,TLL1,3.1,3.5,2.8,2.4,10.1,3.3,-3,-30.6,-30.6,20.9,1.2,0.9,4,2.4,5.1,1,2.7
itl221:East Wales,TLL2,4.2,5.5,4.6,3.9,10.9,4.7,1.7,-29.6,-29.6,19.8,1.7,1.5,4.1,5.3,5.3,5.7,2.9
itl221:North Eastern Scotland,TLM5,0.2,-0.8,-1.1,-0.3,3.1,-0.2,-7.4,-14.5,-14.5,-4.8,3.9,3.9,3.1,-0.6,-0.9,-0.6,1.8
itl221:Highlands and Islands,TLM6,2,3.3,3.1,4.4,5.9,3.6,-1.8,-10.5,-10.5,20.2,1.6,1.4,3.7,5.1,3.4,6.6,2.4
itl221:Eastern Scotland,TLM7,2.9,2.9,2.7,5.1,10,2.1,0.3,-9.9,-9.9,3,3,3,4.2,3,3.3,2.9,2.8
itl221:West Central Scotland,TLM8,2.5,2.6,2.4,7,9.8,1.8,-1,-8.2,-8.2,3.4,0.9,0.6,5.9,1.6,2.7,0.7,3.8
itl221:Southern Scotland,TLM9,2.1,3.1,2.8,4.9,7.5,2.6,0.3,-10,-10,15.7,0.9,0.6,4.6,3.4,3,3.8,3
itl221:Northern Ireland,TLN0,3.7,3.8,3.2,7.5,12.2,1.7,1.2,-37.3,-37.3,5.1,0.5,0.3,1.9,1.3,0.3,1.9,1.3
itl321:Hartlepool and Stockton-on-Tees,TLC11,2.4,1.4,0.8,5.1,11.6,0.4,-4.4,-26.4,-26.4,-10.3,1.4,1.2,3.8,-0.8,2.3,-3.2,2.4
itl321:South Teesside,TLC12,2.1,4.5,3.8,-1.2,12.3,3.2,6.9,-30.8,-30.8,1465.1,1.1,0.8,4,6.9,2.3,10.3,2.5
itl321:Darlington,TLC13,4.6,6.2,5.5,3.7,7.6,6.8,-0.2,-27.4,-27.4,33,0,-0.2,2.6,4.7,6.8,4,1.6
itl321:Durham,TLC14,2.4,3.5,2.9,2.8,10.8,2.6,0.8,-28,-28,20.3,1.7,1.4,4.3,4.3,0.9,6.5,2.8
itl321:Northumberland,TLC21,2.6,1,0.3,1.6,10,0.6,-5.3,-28.8,-28.8,-52.9,4.2,4.5,0,0,0.9,-0.6,0.1
itl321:Tyneside,TLC22,2.2,2.4,1.8,3.3,10.5,2,-4.3,-27.7,-27.7,4.9,0.7,0.4,3.5,1.6,2.3,1.1,2.3
itl321:Sunderland,TLC23,2.4,5.2,4.7,4.4,9.7,3.1,12.4,-27,-27,103.2,2.8,2.7,4.5,9.8,2.9,14.8,2.8
itl321:West Cumbria,TLD11,1.6,3.5,3,4.1,10.4,3,-0.3,-19.5,-19.5,25.2,0.1,-0.1,3.2,5,4.1,6,1.8
itl321:East Cumbria,TLD12,2.5,2.6,1.9,2.4,8.6,1,1.8,-20.9,-20.9,5.7,3.3,3.5,0.4,3.6,2.5,4.7,0.2
itl321:Manchester,TLD33,6.7,8.5,8,7.8,15.5,9.5,-4.3,-16.7,-16.7,22.4,0,-0.3,3,6.6,13.4,4.2,1.8
itl321:Greater Manchester South West,TLD34,2.7,3,2.6,4.9,11.7,0.8,5.3,-19,-19,4.8,0.8,0.5,4.9,2.5,0.2,4.3,3.2
itl321:Greater Manchester South East,TLD35,2.9,5.7,5.1,1.9,8.2,6.5,-0.5,-21.2,-21.2,34,-1,-1.4,4,7.3,8.6,7.1,2.5
itl321:Greater Manchester North West,TLD36,4.5,4.8,4.3,2,10.9,4.5,1.6,-21.1,-21.1,8.2,2,1.8,4.7,3.4,1.3,4.6,2.9
itl321:Greater Manchester North East,TLD37,2.3,3.7,3.3,2.3,9.6,3.9,-2.4,-20.9,-20.9,21.3,-0.4,-0.8,4.7,3.7,3.3,4,3
itl321:Blackburn with Darwen,TLD41,5,7,6.5,2.3,9.6,8.4,-0.5,-20.9,-20.9,174.4,0.6,0.3,4.7,5.6,13.4,2.8,2.7
itl321:Blackpool,TLD42,3.5,5.1,4.5,2.6,10.4,4.8,0.6,-20.7,-20.7,-54.3,0.7,0.6,2.5,4.7,9.6,3.3,1.2
itl321:Lancaster and Wyre,TLD44,4.4,4.1,3.3,-1.6,9.3,4.7,-0.6,-23.9,-23.9,-3.7,4.3,4.4,2.8,3.3,6.4,1.9,1.9
itl321:Mid Lancashire,TLD45,2.9,4,3.4,1.8,8.8,3.3,3.1,-21.3,-21.3,17.3,1.3,1.1,3.5,4.6,3.3,5.7,2.3
itl321:East Lancashire,TLD46,2.3,3,2.6,3.2,9,3.5,-5.4,-20.3,-20.3,11.4,0.8,0.7,1.7,2.6,4,2.1,1
itl321:Chorley and West Lancashire,TLD47,3,4.2,3.5,-0.8,8.3,6,-4.6,-23.3,-23.3,19.3,1.4,1.2,4.6,4.7,9.1,2.3,3.2
itl321:Warrington,TLD61,2.9,4.3,3.8,2.6,11.9,4.8,-3.1,-20.7,-20.7,12.2,0.2,0,3,4.8,5.1,5,1.9
itl321:Cheshire East,TLD62,4.2,5.1,4.5,5.3,9.4,6.5,-3.9,-18.6,-18.6,12.9,1.6,1.5,2.1,4.9,10.1,1,1.4
itl321:Cheshire West and Chester,TLD63,4.8,7,6.4,4.9,10.8,7.6,0.7,-18.9,-18.9,30.6,-0.6,-0.9,3.1,6.3,7.6,5.9,2.1
itl321:East Merseyside,TLD71,3.6,3.8,3.3,2.5,11.2,4.4,-6.4,-20.8,-20.8,5.5,1.5,1.2,5.6,2.2,6.2,-0.3,3.4
itl321:Liverpool,TLD72,2.7,4.3,3.8,3.6,11.9,3.4,1.2,-19.9,-19.9,26.9,1.5,1.3,4.7,5.7,4.2,6.9,2.8
itl321:Sefton,TLD73,2.2,3.9,3.3,1.2,10.8,3.7,-0.8,-21.8,-21.8,59.9,1.3,1.3,1.6,6,5,7.3,0.7
itl321:Wirral,TLD74,1.4,0.4,0,2,10.7,0.1,-7.6,-21.1,-21.1,-19.1,0.7,0.6,1.8,-1.6,2.1,-4.3,1
"itl321:Kingston upon Hull, City of",TLE11,3.6,5.2,4.8,4.8,11.4,4.7,1.1,-19.2,-19.2,27.6,1.5,0.9,9.1,5.9,5.1,6.4,5.4
itl321:East Riding of Yorkshire,TLE12,3.4,2.2,1.7,7.5,7.9,1.8,-5,-17.2,-17.2,-11.7,3.7,3.6,4.7,0.6,5.6,-2.9,3.1
itl321:North and North East Lincolnshire,TLE13,3.9,3.6,3.2,5.5,8.9,3.6,-3.2,-18.7,-18.7,0.5,2.4,2.1,6.6,2.1,3.7,0.8,4.1
itl321:York,TLE21,3.4,3.7,3.1,5.5,8.8,2.7,0.3,-18.7,-18.7,5.4,4.3,4.3,4.2,4.7,3,6.1,2.9
itl321:North Yorkshire CC,TLE22,3.4,3.2,2.7,5.2,6.1,3,-1.5,-18.9,-18.9,1,1.3,1.1,2.9,1.2,2.3,0.3,1.9
"itl321:Barnsley, Doncaster and Rotherham",TLE31,3.9,4.6,4.1,4.7,9.1,3.9,2.5,-19.4,-19.4,16.7,2.5,2.1,7.8,4.5,3.1,5.2,5
itl321:Sheffield,TLE32,2.4,2.5,2.2,7.5,9.2,1.7,-3.1,-17.2,-17.2,3.4,2,1.7,6.1,2.4,3,1.7,4
itl321:Bradford,TLE41,2.4,1.8,1.4,3.1,8.2,0.9,-1.5,-20.6,-20.6,-8.4,2.8,2.6,5.6,1.2,1.1,0.9,3.5
itl321:Leeds,TLE42,3.4,3.9,3.4,4.8,10.7,3.9,-3.4,-19.3,-19.3,7,1.8,1.4,6.2,3.6,5.4,2.5,3.9
itl321:Calderdale and Kirklees,TLE44,2.6,3.4,3,3.9,8.5,3.2,-1,-19.9,-19.9,11.4,2.7,2.5,6,4.8,2.2,6.5,3.8
itl321:Wakefield,TLE45,4.9,7.1,6.6,6.9,3.8,8.3,-0.5,-17.6,-17.6,40.9,2.4,1.9,8.6,8.5,10.8,7.7,5.6
itl321:Derby,TLF11,4.4,4.6,4.2,0,11.6,5.6,-3.9,-14.1,-14.1,5.5,1,0.8,3.6,2.3,8.5,-0.8,2.2
itl321:East Derbyshire,TLF12,4.2,2.8,2.6,3.2,10.4,3.6,-6.6,-11.3,-11.3,-14.1,2.8,2.8,2.8,-0.2,4.4,-3.1,1.9
itl321:South and West Derbyshire,TLF13,2.1,1.8,1.6,3.8,10,1.4,-2.4,-10.8,-10.8,0.1,1.8,1.8,1.7,1.2,-2.7,4.2,1.3
itl321:Nottingham,TLF14,2.2,1.9,1.7,2.5,10.7,1.2,-2.3,-11.9,-11.9,-0.4,1.4,1.2,4.5,1,-2.3,2.5,3.1
itl321:North Nottinghamshire,TLF15,3.5,3.4,3.1,1,8.5,5,-6.9,-13.2,-13.2,2.6,2.7,2.7,3.5,2.7,7.4,0,2.4
itl321:South Nottinghamshire,TLF16,2.4,1.2,0.9,2.9,8.7,0.3,-0.9,-11.5,-11.5,-5.5,3.1,3.4,0.2,0,-1.6,1.2,0.1
itl321:Leicester,TLF21,3.8,6.3,6,7.2,12.6,5.1,6.5,-7.9,-7.9,32,0.2,-0.1,4.2,7.4,5,9.4,2.9
itl321:Leicestershire CC and Rutland,TLF22,5.5,4.8,4.5,4.5,10.4,6,-3.7,-10.2,-10.2,0,2.8,2.9,1.8,1.9,8,-2,1.6
itl321:West Northamptonshire,TLF24,4.8,5.3,5,7.3,13.8,4.9,-0.4,-7.8,-7.8,7.6,3.8,3.8,3.1,5.4,5.8,5.5,2.2
itl321:North Northamptonshire,TLF25,3.9,4.6,4.4,8.8,12.3,3.6,1.3,-6.4,-6.4,9.1,3.5,3.4,4.3,5.4,4.3,6.6,3.2
itl321:Lincolnshire CC,TLF30,3.6,3.8,3.5,3.7,7,4.1,-0.7,-11,-11,7.4,2.8,2.9,2.2,3.5,4.3,3.2,1.6
"itl321:Herefordshire, County of",TLG11,1.1,0.5,0.6,3.3,7.3,0.7,-4.8,3.8,3.8,-9.8,1.9,1.8,3.9,0.2,1.4,-1,2.8
itl321:Worcestershire CC,TLG12,2.5,3.7,3.7,2.1,8.9,5,-3.1,2.8,2.8,15.3,1.8,1.5,6.2,5.1,6.3,4.4,4.3
itl321:Warwickshire CC,TLG13,1.1,1.2,1.2,2.1,9.7,3,-8.4,2.8,2.8,1.7,2,1.6,7.4,1.9,4,-0.2,5.2
itl321:Telford and Wrekin,TLG21,1.5,3,2.9,-0.5,10.4,3.3,-0.4,0.2,0.2,17.2,-0.3,-1,8.4,3.8,6.6,2.1,5.7
itl321:Shropshire,TLG22,3,2.1,2.2,2.1,9.4,4.1,-7.3,2.6,2.6,-7.3,3.6,3.4,5.7,1.2,5.4,-2.1,4.1
