Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
country:United Kingdom,K02000001,19694,22792,23144,2603,2101,15096,3344,352,352,-3098,5530,5118,412,8628,3457,4553,619
country:Great Britain,K03000001,19802,22952,23310,2626,2109,15205,3369,358,358,-3151,5537,5128,409,8687,3500,4573,615
country:England,E92000001,20179,23526,23894,2721,2217,15480,3477,368,368,-3347,5499,5095,405,8846,3627,4608,610
country:Wales,W92000004,16018,16949,17208,1807,1344,11650,2407,260,260,-930,5983,5508,475,6914,2223,4005,686
country:Scotland,S92000003,18110,20531,20838,2128,1444,14442,2823,306,306,-2421,5659,5252,407,8081,2925,4534,622
country:Northern Ireland,N92000002,16012,17300,17464,1817,1825,11341,2481,164,164,-1288,5316,4773,543,6603,2002,3861,740
country:England and Wales,K04000001,19958,23176,23538,2672,2170,15276,3420,363,363,-3218,5525,5117,409,8743,3553,4576,614
itl121:North East (England),TLC,15933,17026,17265,1678,1182,12104,2301,239,239,-1092,5891,5439,452,6983,2308,4012,663
itl121:North West (England),TLD,17164,18938,19251,2046,1456,13045,2705,313,313,-1774,5633,5251,382,7407,2619,4200,588
itl121:Yorkshire and The Humber,TLE,16517,18173,18471,1815,1493,12493,2669,298,298,-1656,5494,5088,406,7151,2446,4093,612
itl121:East Midlands (England),TLF,17187,19349,19661,1882,1544,13432,2803,312,312,-2162,5465,5032,433,7627,2763,4223,641
itl121:West Midlands (England),TLG,16912,18793,19099,1919,1510,12943,2727,306,306,-1882,5431,5023,407,7312,2619,4083,610
itl121:East,TLH,20595,24239,24648,2739,2234,16080,3595,409,409,-3644,5586,5145,441,9230,3869,4715,646
itl121:London,TLI,27572,35302,35777,4380,4253,21914,5229,474,474,-7731,4583,4254,329,12313,6113,5672,528
itl121:South East (England),TLJ,22750,27101,27528,3487,2411,17597,4033,427,427,-4351,5837,5425,412,10189,4546,5026,617
itl121:South West (England),TLK,19343,21103,21479,2648,2165,13286,3379,376,376,-1760,6054,5599,455,7814,2821,4326,667
itl121:Wales,TLL,16018,16949,17208,1807,1344,11650,2407,260,260,-930,5983,5508,475,6914,2223,4005,686
itl121:Scotland,TLM,18110,20531,20838,2128,1444,14442,2823,306,306,-2421,5659,5252,407,8081,2925,4534,622
itl121:Northern Ireland,TLN,16012,17300,17464,1817,1825,11341,2481,164,164,-1288,5316,4773,543,6603,2002,3861,740
itl221:Tees Valley and Durham,TLC1,15601,16581,16806,1576,1123,11894,2213,225,225,-980,5899,5442,457,6878,2273,3940,665
"itl221:Northumberland, and Tyne and Wear",TLC2,16208,17393,17644,1762,1230,12278,2374,251,251,-1185,5884,5437,448,7070,2337,4072,661
itl221:Cumbria,TLD1,18650,19897,20281,2498,1420,13188,3175,384,384,-1247,6334,5912,422,7580,2646,4296,639
itl221:Greater Manchester,TLD3,16417,18641,18932,1899,1525,12922,2586,290,290,-2224,5113,4747,366,7337,2534,4238,565
itl221:Lancashire,TLD4,16574,17731,18033,1969,1409,11950,2705,302,302,-1157,5827,5438,389,6984,2335,4054,595
itl221:Cheshire,TLD6,21040,23928,24356,2797,1556,16178,3825,429,429,-2887,6114,5676,438,9002,3734,4620,648
itl221:Merseyside,TLD7,16282,17338,17611,1790,1326,12396,2099,274,274,-1056,5875,5515,360,6931,2369,3992,570
itl221:East Yorkshire and Northern Lincolnshire,TLE1,16121,17385,17676,1765,1299,12214,2398,290,290,-1265,5633,5218,415,6898,2321,3952,624
itl221:North Yorkshire,TLE2,19995,22160,22617,2778,1912,13983,3943,457,457,-2165,6216,5760,456,8381,3256,4452,673
itl221:South Yorkshire,TLE3,15426,16729,16976,1506,1428,11803,2239,247,247,-1303,5374,4981,393,6677,2161,3915,601
itl221:West Yorkshire,TLE4,16099,17946,18222,1680,1461,12494,2586,275,275,-1847,5254,4862,393,7102,2380,4130,592
itl221:Derbyshire and Nottinghamshire,TLF1,16535,18597,18880,1711,1426,13157,2587,283,283,-2062,5522,5101,421,7584,2742,4212,630
"itl221:Leicestershire, Rutland and Northamptonshire",TLF2,17950,20691,21036,2084,1692,14183,3077,345,345,-2741,5151,4709,442,7892,2917,4329,646
itl221:Lincolnshire,TLF3,17240,18289,18604,1890,1533,12413,2769,315,315,-1049,6060,5613,447,7109,2448,3999,661
"itl221:Herefordshire, Worcestershire and Warwickshire",TLG1,20377,23017,23442,2668,1873,15077,3824,425,425,-2640,5958,5494,464,8598,3412,4510,676
itl221:Shropshire and Staffordshire,TLG2,17363,19332,19643,1952,1522,13240,2929,312,312,-1969,5658,5231,427,7627,2718,4271,638
itl221:West Midlands,TLG3,15052,16533,16781,1553,1334,11788,2106,247,247,-1482,5059,4689,370,6540,2195,3781,565
itl221:East Anglia,TLH1,18870,21232,21585,2365,1960,14029,3232,354,354,-2361,5765,5330,435,8126,3120,4361,645
itl221:Bedfordshire and Hertfordshire,TLH2,22752,28044,28508,3113,2472,18795,4127,464,464,-5292,5330,4882,448,10622,4812,5164,646
itl221:Essex,TLH3,20780,24517,24946,2874,2370,16147,3556,429,429,-3737,5599,5157,442,9337,3944,4746,647
itl221:Inner London - West,TLI3,49099,67170,68112,8695,7317,38771,13328,941,941,-18071,4624,4272,352,22695,14291,7839,565
itl221:Inner London - East,TLI4,24863,32123,32508,3550,4173,20727,4057,384,384,-7261,4028,3741,287,11289,5149,5650,490
itl221:Outer London - East and North East,TLI5,21087,25296,25644,3216,3378,16075,2975,348,348,-4209,4708,4377,331,8916,3567,4828,522
itl221:Outer London - South,TLI6,24739,31151,31581,3968,3189,20222,4201,430,430,-6412,5087,4731,356,11499,5361,5585,553
itl221:Outer London - West and North West,TLI7,26288,32798,33256,4231,4091,20206,4728,458,458,-6509,4764,4420,345,11274,5426,5308,540
"itl221:Berkshire, Buckinghamshire and Oxfordshire",TLJ1,24141,30070,30516,3645,2449,20054,4367,446,446,-5928,5451,5032,419,11379,5265,5498,617
"itl221:Surrey, East and West Sussex",TLJ2,24583,29161,29650,4002,2664,18325,4659,490,490,-4578,6247,5828,419,10824,5067,5129,628
itl221:Hampshire and Isle of Wight,TLJ3,20583,23878,24244,2988,2120,15794,3342,366,366,-3296,5807,5400,407,9102,3739,4747,616
itl221:Kent,TLJ4,20395,23473,23841,3010,2279,15193,3359,368,368,-3078,5732,5335,398,8810,3659,4549,602
"itl221:Gloucestershire, Wiltshire and Bath/Bristol area",TLK1,20164,23261,23635,2637,2162,15256,3580,374,374,-3097,5652,5195,457,8749,3344,4740,665
itl221:Dorset and Somerset,TLK2,19598,20687,21087,2819,2195,12735,3338,400,400,-1089,6501,6037,464,7590,2746,4164,680
itl221:Cornwall and Isles of Scilly,TLK3,17615,17592,17964,2615,2277,10036,3036,372,372,23,6229,5777,452,6206,1968,3571,667
