Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
country:United Kingdom,K02000001,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
country:Great Britain,K03000001,100.5,100.7,100.7,100.9,100.4,100.7,100.8,101.6,101.6,101.7,100.1,100.2,99.1,100.7,101.2,100.4,99.4
country:England,E92000001,102.5,103.2,103.2,104.5,105.5,102.5,104,104.6,104.6,108,99.4,99.5,98.2,102.5,104.9,101.2,98.7
country:Wales,W92000004,81.3,74.4,74.4,69.4,64,77.2,72,73.7,73.7,30,108.2,107.6,115.2,80.1,64.3,88,110.9
country:Scotland,S92000003,92,90.1,90,81.7,68.8,95.7,84.4,86.9,86.9,78.2,102.3,102.6,98.7,93.7,84.6,99.6,100.6
country:Northern Ireland,N92000002,81.3,75.9,75.5,69.8,86.9,75.1,74.2,46.5,46.5,41.6,96.1,93.3,131.6,76.5,57.9,84.8,119.7
country:England and Wales,K04000001,101.3,101.7,101.7,102.6,103.3,101.2,102.3,102.9,102.9,103.9,99.9,100,99.1,101.3,102.8,100.5,99.3
itl121:North East (England),TLC,80.9,74.7,74.6,64.4,56.2,80.2,68.8,67.9,67.9,35.3,106.5,106.3,109.5,80.9,66.8,88.1,107.2
itl121:North West (England),TLD,87.2,83.1,83.2,78.6,69.3,86.4,80.9,88.9,88.9,57.3,101.9,102.6,92.7,85.8,75.8,92.3,95
itl121:Yorkshire and The Humber,TLE,83.9,79.7,79.8,69.7,71.1,82.8,79.8,84.5,84.5,53.5,99.3,99.4,98.5,82.9,70.8,89.9,98.9
itl121:East Midlands (England),TLF,87.3,84.9,84.9,72.3,73.5,89,83.8,88.6,88.6,69.8,98.8,98.3,105,88.4,79.9,92.8,103.6
itl121:West Midlands (England),TLG,85.9,82.5,82.5,73.7,71.9,85.7,81.6,86.8,86.8,60.7,98.2,98.2,98.7,84.7,75.7,89.7,98.7
itl121:East,TLH,104.6,106.3,106.5,105.2,106.3,106.5,107.5,116.1,116.1,117.6,101,100.5,106.9,107,111.9,103.6,104.4
itl121:London,TLI,140,154.9,154.6,168.3,202.5,145.2,156.4,134.7,134.7,249.5,82.9,83.1,79.7,142.7,176.8,124.6,85.3
itl121:South East (England),TLJ,115.5,118.9,118.9,133.9,114.8,116.6,120.6,121.1,121.1,140.5,105.6,106,99.9,118.1,131.5,110.4,99.8
itl121:South West (England),TLK,98.2,92.6,92.8,101.7,103.1,88,101,106.7,106.7,56.8,109.5,109.4,110.3,90.6,81.6,95,107.8
itl121:Wales,TLL,81.3,74.4,74.4,69.4,64,77.2,72,73.7,73.7,30,108.2,107.6,115.2,80.1,64.3,88,110.9
itl121:Scotland,TLM,92,90.1,90,81.7,68.8,95.7,84.4,86.9,86.9,78.2,102.3,102.6,98.7,93.7,84.6,99.6,100.6
itl121:Northern Ireland,TLN,81.3,75.9,75.5,69.8,86.9,75.1,74.2,46.5,46.5,41.6,96.1,93.3,131.6,76.5,57.9,84.8,119.7
itl221:Tees Valley and Durham,TLC1,79.2,72.7,72.6,60.5,53.4,78.8,66.2,63.8,63.8,31.6,106.7,106.3,110.7,79.7,65.7,86.6,107.5
"itl221:Northumberland, and Tyne and Wear",TLC2,82.3,76.3,76.2,67.7,58.6,81.3,71,71.3,71.3,38.3,106.4,106.2,108.6,81.9,67.6,89.4,106.9
itl221:Cumbria,TLD1,94.7,87.3,87.6,95.9,67.6,87.4,94.9,109,109,40.2,114.5,115.5,102.4,87.9,76.5,94.4,103.3
itl221:Greater Manchester,TLD3,83.4,81.8,81.8,72.9,72.6,85.6,77.3,82.5,82.5,71.8,92.5,92.8,88.7,85,73.3,93.1,91.4
itl221:Lancashire,TLD4,84.2,77.8,77.9,75.6,67.1,79.2,80.9,85.6,85.6,37.3,105.4,106.3,94.3,80.9,67.5,89,96.2
itl221:Cheshire,TLD6,106.8,105,105.2,107.4,74.1,107.2,114.4,121.7,121.7,93.2,110.6,110.9,106.2,104.3,108,101.5,104.7
itl221:Merseyside,TLD7,82.7,76.1,76.1,68.7,63.1,82.1,62.8,77.7,77.7,34.1,106.2,107.8,87.2,80.3,68.5,87.7,92.1
itl221:East Yorkshire and Northern Lincolnshire,TLE1,81.9,76.3,76.4,67.8,61.8,80.9,71.7,82.4,82.4,40.8,101.9,102,100.5,79.9,67.1,86.8,100.9
itl221:North Yorkshire,TLE2,101.5,97.2,97.7,106.7,91,92.6,117.9,129.7,129.7,69.9,112.4,112.5,110.6,97.1,94.2,97.8,108.8
itl221:South Yorkshire,TLE3,78.3,73.4,73.3,57.8,68,78.2,66.9,70,70,42.1,97.2,97.3,95.4,77.4,62.5,86,97.1
itl221:West Yorkshire,TLE4,81.7,78.7,78.7,64.5,69.6,82.8,77.3,78.1,78.1,59.6,95,95,95.2,82.3,68.8,90.7,95.7
itl221:Derbyshire and Nottinghamshire,TLF1,84,81.6,81.6,65.7,67.9,87.2,77.3,80.5,80.5,66.5,99.8,99.7,102,87.9,79.3,92.5,101.9
"itl221:Leicestershire, Rutland and Northamptonshire",TLF2,91.1,90.8,90.9,80.1,80.5,94,92,98,98,88.5,93.1,92,107.2,91.5,84.4,95.1,104.4
itl221:Lincolnshire,TLF3,87.5,80.2,80.4,72.6,73,82.2,82.8,89.4,89.4,33.9,109.6,109.7,108.3,82.4,70.8,87.9,106.9
"itl221:Herefordshire, Worcestershire and Warwickshire",TLG1,103.5,101,101.3,102.5,89.2,99.9,114.4,120.8,120.8,85.2,107.7,107.3,112.5,99.6,98.7,99.1,109.2
itl221:Shropshire and Staffordshire,TLG2,88.2,84.8,84.9,75,72.5,87.7,87.6,88.4,88.4,63.6,102.3,102.2,103.5,88.4,78.6,93.8,103.1
itl221:West Midlands,TLG3,76.4,72.5,72.5,59.6,63.5,78.1,63,70.2,70.2,47.8,91.5,91.6,89.6,75.8,63.5,83.1,91.3
itl221:East Anglia,TLH1,95.8,93.2,93.3,90.8,93.3,92.9,96.7,100.4,100.4,76.2,104.2,104.1,105.5,94.2,90.2,95.8,104.2
itl221:Bedfordshire and Hertfordshire,TLH2,115.5,123,123.2,119.6,117.7,124.5,123.4,131.9,131.9,170.8,96.4,95.4,108.7,123.1,139.2,113.4,104.5
itl221:Essex,TLH3,105.5,107.6,107.8,110.4,112.8,107,106.3,121.8,121.8,120.6,101.2,100.8,107.2,108.2,114.1,104.2,104.6
itl221:Inner London - West,TLI3,249.3,294.7,294.3,334,348.3,256.8,398.5,267.3,267.3,583.3,83.6,83.5,85.3,263,413.4,172.2,91.3
itl221:Inner London - East,TLI4,126.2,140.9,140.5,136.4,198.6,137.3,121.3,109.1,109.1,234.4,72.8,73.1,69.7,130.8,148.9,124.1,79.3
itl221:Outer London - East and North East,TLI5,107.1,111,110.8,123.5,160.8,106.5,89,98.9,98.9,135.9,85.1,85.5,80.2,103.3,103.2,106.1,84.3
itl221:Outer London - South,TLI6,125.6,136.7,136.5,152.4,151.8,134,125.6,122,122,207,92,92.4,86.4,133.3,155.1,122.7,89.4
itl221:Outer London - West and North West,TLI7,133.5,143.9,143.7,162.5,194.7,133.9,141.4,130.1,130.1,210.1,86.1,86.4,83.6,130.7,156.9,116.6,87.3
"itl221:Berkshire, Buckinghamshire and Oxfordshire",TLJ1,122.6,131.9,131.8,140,116.6,132.8,130.6,126.7,126.7,191.4,98.6,98.3,101.5,131.9,152.3,120.8,99.8
"itl221:Surrey, East and West Sussex",TLJ2,124.8,127.9,128.1,153.7,126.8,121.4,139.3,139,139,147.8,113,113.9,101.6,125.5,146.6,112.7,101.5
itl221:Hampshire and Isle of Wight,TLJ3,104.5,104.8,104.8,114.8,100.9,104.6,99.9,103.8,103.8,106.4,105,105.5,98.6,105.5,108.2,104.3,99.6
